op,dtype,layout,mem,bcast,accepted,pcc_or_reason,input_range,pcc,ulp
abs,bfloat16,rm,block,none,OK,pass,[0.1..0.85],1.000000,0.000
abs,bfloat16,rm,dram,none,OK,pass,[0.1..0.85],1.000000,0.000
abs,bfloat16,rm,height,none,OK,pass,[0.1..0.85],1.000000,0.000
abs,bfloat16,rm,l1,none,OK,pass,[0.1..0.85],1.000000,0.000
abs,bfloat16,rm,width,none,OK,pass,[0.1..0.85],1.000000,0.000
abs,bfloat16,tile,block,none,OK,pass,[0.1..0.85],1.000000,0.000
abs,bfloat16,tile,dram,none,OK,pass,[0.1..0.85],1.000000,0.000
abs,bfloat16,tile,height,none,OK,pass,[0.1..0.85],1.000000,0.000
abs,bfloat16,tile,l1,none,OK,pass,[0.1..0.85],1.000000,0.000
abs,bfloat16,tile,width,none,OK,pass,[0.1..0.85],1.000000,0.000
abs,bfloat4_b,rm,block,none,FAIL,TT_FATAL @ /project/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
abs,bfloat4_b,rm,dram,none,FAIL,TT_FATAL @ /project/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
abs,bfloat4_b,rm,height,none,FAIL,TT_FATAL @ /project/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
abs,bfloat4_b,rm,l1,none,FAIL,TT_FATAL @ /project/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
abs,bfloat4_b,rm,width,none,FAIL,TT_FATAL @ /project/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
abs,bfloat4_b,tile,block,none,OK,pass,[0.1..0.85],0.985973,
abs,bfloat4_b,tile,dram,none,OK,pass,[0.1..0.85],0.986300,
abs,bfloat4_b,tile,height,none,OK,pass,[0.1..0.85],0.986541,
abs,bfloat4_b,tile,l1,none,OK,pass,[0.1..0.85],0.985517,
abs,bfloat4_b,tile,width,none,OK,pass,[0.1..0.85],0.987054,
abs,bfloat8_b,rm,block,none,FAIL,TT_FATAL @ /project/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
abs,bfloat8_b,rm,dram,none,FAIL,TT_FATAL @ /project/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
abs,bfloat8_b,rm,height,none,FAIL,TT_FATAL @ /project/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
abs,bfloat8_b,rm,l1,none,FAIL,TT_FATAL @ /project/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
abs,bfloat8_b,rm,width,none,FAIL,TT_FATAL @ /project/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
