op,dtype,layout,mem,accepted,pcc_or_reason,input_range,pcc,ulp
abs,bfloat16,tile,dram,OK,pass,[0.1..0.85],1.000000,0.000
abs,bfloat8_b,tile,dram,OK,pass,[0.1..0.85],0.999943,8.000
abs,bfloat4_b,tile,dram,OK,pass,[0.1..0.85],0.986300,
abs,float32,tile,dram,OK,pass,[0.1..0.85],1.000000,0.000
abs,int32,tile,dram,OK,pass,[1..49],1.000000,
abs,uint32,tile,dram,OK,fail,[1..49],,
abs,uint16,tile,dram,OK,pass,[1..49],0.999998,
abs,uint8,tile,dram,OK,fail,[1..49],,
abs,bfloat16,tile,l1,OK,pass,[0.1..0.85],1.000000,0.000
abs,bfloat8_b,tile,l1,OK,pass,[0.1..0.85],0.999945,7.000
abs,bfloat4_b,tile,l1,OK,pass,[0.1..0.85],0.985517,
abs,float32,tile,l1,OK,pass,[0.1..0.85],1.000000,0.000
abs,int32,tile,l1,OK,pass,[1..49],1.000000,
abs,uint32,tile,l1,OK,fail,[1..49],,
abs,uint16,tile,l1,OK,pass,[1..49],0.999999,
abs,uint8,tile,l1,OK,fail,[1..49],,
abs,bfloat16,tile,height,OK,pass,[0.1..0.85],1.000000,0.000
abs,bfloat8_b,tile,height,OK,pass,[0.1..0.85],0.999923,8.000
abs,bfloat4_b,tile,height,OK,pass,[0.1..0.85],0.986541,
abs,float32,tile,height,OK,pass,[0.1..0.85],1.000000,0.000
abs,int32,tile,height,OK,pass,[1..49],1.000000,
abs,uint32,tile,height,OK,fail,[1..49],,
abs,uint16,tile,height,OK,pass,[1..49],1.000000,
abs,uint8,tile,height,OK,fail,[1..49],,
abs,bfloat16,tile,width,OK,pass,[0.1..0.85],1.000000,0.000
abs,bfloat8_b,tile,width,OK,pass,[0.1..0.85],0.999911,8.000
abs,bfloat4_b,tile,width,OK,pass,[0.1..0.85],0.987054,
abs,float32,tile,width,OK,pass,[0.1..0.85],1.000000,0.000
abs,int32,tile,width,OK,pass,[1..49],1.000000,
abs,uint32,tile,width,OK,fail,[1..49],,
abs,uint16,tile,width,OK,pass,[1..49],1.000000,
abs,uint8,tile,width,OK,fail,[1..49],,
abs,bfloat16,tile,block,OK,pass,[0.1..0.85],1.000000,0.000
abs,bfloat8_b,tile,block,OK,pass,[0.1..0.85],0.999920,8.000
abs,bfloat4_b,tile,block,OK,pass,[0.1..0.85],0.985973,
abs,float32,tile,block,OK,pass,[0.1..0.85],1.000000,0.000
abs,int32,tile,block,OK,pass,[1..49],0.999998,
abs,uint32,tile,block,OK,fail,[1..49],,
abs,uint16,tile,block,OK,pass,[1..49],0.999998,
abs,uint8,tile,block,OK,fail,[1..49],,
abs,bfloat16,rm,dram,OK,pass,[0.1..0.85],1.000000,0.000
